"","Gene.names","LOG2.H0_1","LOG2.H0_2","LOG2.H0_3","LOG2.Hc_1","LOG2.Hc_2","LOG2.Hc_3","logFC","p.val"
"1","TMEM70",-4.76560556363768,-4.49466938918523,-4.48949283603607,4.77215309815114,4.84944496976222,5.08025782053103,9.48387455910112,3.19392427399541e-09
"2","ATP5H",1.87333468721365,2.44218845816372,2.27269468257414,8.82534190438951,8.46228063692348,8.80010505559485,6.49983658965211,9.8176971404687e-08
"3","ATP5A1",5.21058197223816,5.74067262185357,5.48570205826679,11.5828392969721,11.3124773543241,11.6133448083501,6.02390160242927,1.08042992843528e-07
"4","ATP5L",1.39201042778888,1.61368863579364,1.16889874786598,7.80534404178779,7.3212627805214,7.70802874253058,6.22001258446376,1.11621239474094e-07
"5","ATP5C1",1.86002051552112,2.12560155042885,1.83063972448522,8.1796997714667,7.68101383038499,8.18149859095044,6.07531680078898,1.20242080309792e-07
"6","MT-ATP8",-1.86431656593646,-2.12340161802326,-2.59027734004486,5.86702424136009,5.12903705410388,5.44968912776422,7.67458198241092,1.43828444974959e-07
"7","Cxxx",-3.57443852751585,-4.6276086161603,-4.44414478834611,3.76811398257856,3.73952614666918,3.87911418190518,8.01098208105839,1.58590590656628e-07
"8","ATP5F1",1.40075608466161,2.00716309836615,1.76603635245624,8.11465644012327,7.67144913545027,8.1078558826183,6.24000197423595,1.80562365130121e-07
"9","LRRC10B",-5.00391992743678,-4.58999428640279,-4.20866994724181,3.28479593086485,3.73389084130149,4.35535974368714,8.39221022564495,2.53958131127856e-07
"10","ATP5B",5.35073032264469,6.15922973854052,5.74505597265154,11.8051387286793,11.7623670815774,11.9804159402709,6.09763523889694,2.53966908608018e-07
"11","ATP5I",-0.136156309291056,0.524040464650632,-0.338295706274984,7.24969818516927,6.74610212937295,6.92358328736208,6.95659838427324,2.55230258440488e-07
"12","PDGFRB",-4.16366818543977,-3.71321639667793,-3.89589991648395,4.11483507671461,3.30215134789369,4.45323946854406,7.881003463918,2.88990274406864e-07
"13","ATP5J",0.434227007735583,1.2924615508084,1.24702946702878,7.73784385011905,7.40495585708724,7.72112603193518,6.63006923785624,3.41874153944566e-07
"14","ATP5D",0.0299096427317167,0.540826364047209,0.804602519153175,6.4058725560656,6.49563910708443,6.88576650842886,6.1373132152156,3.67958634434987e-07
